FY,Month (abbv),Component,Region,Land Filter,Branch,Drug Type,Count of Event,Sum Qty (lbs)
2023,JAN,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,1,48.5
2023,JAN,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Marijuana,1,3999.14
2023,JAN,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,0.02
2023,JAN,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,5,30.24
2023,JUL,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,1507.06
2023,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,13,0.6799999999999999
2023,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,10,3.77
2023,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Heroin,1,0.66
2023,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,3,1.13
2023,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,9,3.2
2023,JUL,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,1,11.03
2023,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,4,7200.219999999999
2023,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,3,6900.4
2023,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,3,12609.95
2023,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,2,0.57
2023,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,6,25.77
2023,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,4.94
2023,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,1,0.43
2023,JUL,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,1.05
2023,JUL,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Cocaine,1,0.18
2023,JUL,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Methamphetamine,1,2.03
2023,JUL,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,2,2.38
2023,JUL,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,4,45.46
2023,JUL,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,4,44.48
2023,JUL,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,0.0
2023,JUL,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,2,7.98
2023,JUL,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,1,39.99
2023,JUL,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,1,0.18
2023,JUL,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,1.01
2023,JUL,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,1.08
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,1121.99
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,858.47
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,2,0.61
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,3,3.65
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,2,468.1
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,8231.98
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,1,2409.63
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,4,9490.81
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,2,2667.2000000000003
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,4,0.13
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,2,0.81
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Heroin,1,0.63
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,4,20.47
2023,JUN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,0.05
2023,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,5,0.13
2023,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,13,104.32
2023,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,2,0.2
2023,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,7,83.12
2023,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,7.380000000000001
2023,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,4.15
2023,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,1,3.31
2023,JUN,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Fentanyl,1,0.0
2023,JUN,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Cocaine,1,0.01
2023,JUN,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Marijuana,2,0.3
2023,JUN,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Methamphetamine,2,0.04
2023,JUN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,16,4.92
2023,JUN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,10,3.22
2023,JUN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,3,0.0
2023,JUN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,0.0
2023,JUN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,1,0.0
2023,JUN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,0.67
2023,JUN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,5,4.1000000000000005
2023,JUN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,3,24.57
2023,JUN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,2,0.0
2023,JUN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,1,0.0
2023,JUN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Methamphetamine,2,6.68
2023,JUN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,3,1.36
2023,JUN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,2,3.3600000000000003
2023,JUN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,0.02
2023,JUN,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,3,0.5900000000000001
2023,JUN,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,2,1.25
2023,JUN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,3,0.78
2023,JUN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,1,1.85
2023,JUN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Marijuana,1,0.21
2023,JUN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,3.97
2023,JUN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,2,97.71
2023,JUN,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,2.65
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,2918.89
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,661.38
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,10,6849.389999999999
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,2,0.73
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,3,1.6800000000000002
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,1,0.0
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marijuana,1,681.11
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,3,5502.6900000000005
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,2537.72
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,1.01
2023,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,2,4.28
2023,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.01
2023,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,10,50.27
2023,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,0.01
2023,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,2,0.0
2023,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,5,2041.11
2023,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,5,3.15
2023,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,3,0.64
2023,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,1,2.2
2023,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,4,0.53
2023,MAR,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,1,0.08
2023,MAR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,5,2582.98
2023,MAR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,22.05
2023,MAR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,2,5.0
2023,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,3,2.22
2023,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,2,0.2299999999999999
2023,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,2,2009.65
2023,MAR,Air and Marine Operations,Northern Border,Other,NASOC - Grand Forks,Marijuana,1,1708.98
2023,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,2,0.01
2023,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,2,0.1
2023,MAR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,2.65
2023,MAR,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,2,0.02
2023,MAR,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,0.01
2023,MAR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,2,2.76
2023,MAR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,1,5.05
2023,MAR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Cocaine,5,2.7
2023,MAR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,4,42.47
2023,MAR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Marijuana,1,0.0
2023,MAR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,4,140.66
2023,MAR,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,5,10374.85
2023,MAR,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Marijuana,3,6710.81
2023,MAR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,2.04
2023,MAR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,5.07
2023,MAY,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,4608.5
2023,MAY,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,1106.71
2023,MAY,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Cocaine,1,438.72
2023,MAY,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,2,1439.71
2023,MAY,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,2,10.58
2023,MAY,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,4,14.32
2023,MAY,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Fentanyl,1,42.0
2023,MAY,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,3,1228.41
2023,MAY,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,2,467.37
2023,MAY,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,4,8842.65
2023,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,8.82
2023,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,1,0.9
2023,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,3,84.22
2023,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,3,27.14
2023,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,1.11
2023,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,2,0.26
2023,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,1,0.0
2023,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,4,3.15
2023,MAY,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Cocaine,1,0.02
2023,MAY,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,4,0.0699999999999999
2023,MAY,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Methamphetamine,1,0.01
2023,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,7,47.99
2023,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,2,29.29
2023,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,1,0.8
2023,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,4,1.51
2023,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,1,8.16
2023,MAY,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,13,19.47
2023,MAY,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Marijuana,2,2.95
2023,MAY,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,0.3
2023,MAY,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Fentanyl,2,4.84
2023,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.32
2023,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,3,21.45
2023,MAY,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,2,2.34
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,3,2206.19
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Fentanyl,2,238.51
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Methamphetamine,1,835.98
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,849.87
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Fentanyl,1,0.01
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.13
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,3,17.02
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,2,2.23
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Cocaine,1,682.99
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,2,13038.01
2023,NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,2,10198.48
2023,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,2,2.85
2023,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,1.46
2023,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,0.07
2023,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,1,1.66
2023,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,5,4.5
2023,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,4,0.11
2023,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,0.0
2023,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,2,0.34
2023,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,1,0.0
2023,NOV,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Cocaine,2,0.2
2023,NOV,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Fentanyl,1,0.73
2023,NOV,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Methamphetamine,1,0.03
2023,NOV,Air and Marine Operations,Northern Border,Other,Bellingham Air Branch,Cocaine,1,853.18
2023,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,10,387.28
2023,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,0.01
2023,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,0.0
2023,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,8,19.14
2023,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,0.05
2023,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,2,11.03
2023,NOV,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,1,11.02
2023,NOV,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,1,1.34
2023,NOV,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,1,0.08
2023,NOV,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,3,6.92
2023,NOV,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Fentanyl,1,0.35
2023,NOV,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Heroin,1,4.83
2023,NOV,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,25.76
2023,NOV,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,5,9.67
2023,NOV,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,1,2.69
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,3,7063.76
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,1380.96
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,3,0.1
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,3,0.22
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,5,1.36
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Cocaine,1,749.56
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,2,2.95
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marijuana,1,50.71
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,2,5328.52
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,6,12826.36
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,1300.36
2023,OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,0.01
2023,OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.08
2023,OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,12,6.73
2023,OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,0.01
2023,OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,4,6.28
2023,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,12,4.760000000000001
2023,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,1,0.04
2023,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,3,0.14
2023,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,3,4.58
2023,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,3,0.94
2023,OCT,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Cocaine,4,0.1
2023,OCT,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,3,0.37
2023,OCT,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Marijuana,1,0.03
2023,OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,10,52.99
2023,OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,1,8.82
2023,OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,3,48.18
2023,OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,1,2.2
2023,OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,2,11.57
2023,OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,3,105.18
2023,OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,0.06
2023,OCT,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,2.2
2023,OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,4.5
2023,OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,1,11.99
2023,OCT,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,1.27
2023,OCT,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,3,40.84
2023,SEP,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,2,936.07
2023,SEP,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,687.95
2023,SEP,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,4,8.82
2023,SEP,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,2,0.27
2023,SEP,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,3,0.75
2023,SEP,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,2,5249.16
2023,SEP,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,1,1399.92
2023,SEP,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,2,4007.96
2023,SEP,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,1,6.88
2023,SEP,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,1,3.09
2023,SEP,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,1,9.7
2023,SEP,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,0.55
2023,SEP,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,5,3.4399999999999995
2023,SEP,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,1,0.24
2023,SEP,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,3,0.29
2023,SEP,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,2,11.26
2023,SEP,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,2,4.470000000000001
2023,SEP,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.13
2023,SEP,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,14.37
2023,SEP,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,1,2.45
2023,SEP,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,5.73
2023,SEP,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,2,0.33
